Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
P17693	reviewed	HLAG_HUMAN	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338	TISSUE SPECIFICITY: Expressed in adult eye (PubMed:1570318). Expressed in immune cell subsets including monocytes, myeloid and plasmacytoid dendritic cells and regulatory T cells (Tr1)(at protein level) (PubMed:20448110). Secreted by follicular dendritic cell and follicular helper T cells (PubMed:24453251).; TISSUE SPECIFICITY: [Isoform 5]: Detected in physiological fluids including amniotic fluid and serum. {ECO:0000269|PubMed:11137219}.; TISSUE SPECIFICITY: [Isoform 7]: Expressed in placenta, amniotic membrane, skin, cord blood and peripheral blood mononuclear cells. {ECO:0000269|PubMed:11137219}.	1YDP;2D31;2DYP;3BZE;3CDG;3CII;3KYN;3KYO;6AEE;6K60;	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:7584149}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11520457}. Early endosome membrane {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Soluble HLA class I histocompatibility antigen, alpha chain G]: Secreted {ECO:0000269|PubMed:23737137}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:11137219, ECO:0000269|PubMed:7558941, ECO:0000269|PubMed:7584149, ECO:0000269|PubMed:7989753}. Early endosome {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000269|PubMed:7989753}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000269|PubMed:11137219}.; SUBCELLULAR LOCATION: Cell projection, filopodium membrane {ECO:0000269|PubMed:26460007}. Note=HLA-G trogocytosis from extravillous trophoblast's filopodia occurs in the majority of decidual NK cells. {ECO:0000269|PubMed:26460007}.	TRANSMEM 309..332; /note="Helical"; /evidence="ECO:0000255"
P19012	reviewed	K1C15_HUMAN	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456	TISSUE SPECIFICITY: Expressed in a discontinuous manner in the basal cell layer of adult skin epidermis, but continuously in the basal layer of fetal skin epidermis and nail. Also expressed in the outer root sheath above the hair bulb in hair follicle (at protein level). Expressed homogeneously in all cell layers of the esophagus and exocervix, but detected in the basal cell layer only of oral mucosa, skin and in the basal plus the next two layers of the suprabasal epithelium of the palate. {ECO:0000269|PubMed:10084315, ECO:0000269|PubMed:2452170}.			
P19224	reviewed	UD16_HUMAN	UDP-glucuronosyltransferase 1A6 (UGT1A6) (EC 2.4.1.17) (Phenol-metabolizing UDP-glucuronosyltransferase) (UDP-glucuronosyltransferase 1-6) (UDPGT 1-6) (UGT1*6) (UGT1-06) (UGT1.6) (UDP-glucuronosyltransferase 1-F) (UGT-1F) (UGT1F)	UGT1A6 GNT1 UGT1	Homo sapiens (Human)	532	TISSUE SPECIFICITY: Expressed in skin. Isoforms 1 and 3 are expressed in kidney and liver. Isoform 1 but not isoform 2 is expressed in colon, esophagus and small intestine. {ECO:0000269|PubMed:1339448, ECO:0000269|PubMed:18004212}.		SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	TRANSMEM 490..506; /note="Helical"; /evidence="ECO:0000255"
P20930	reviewed	FILA_HUMAN	Filaggrin	FLG	Homo sapiens (Human)	4061	TISSUE SPECIFICITY: Expressed in skin, thymus, stomach, tonsils, testis, placenta, kidney, pancreas, mammary gland, bladder, thyroid, salivary gland and trachea, but not detected in heart, brain, liver, lung, bone marrow, small intestine, spleen, prostate, colon, or adrenal gland (PubMed:19384417). In the skin, mainly expressed in stratum granulosum of the epidermis (PubMed:1429717, PubMed:19384417). {ECO:0000269|PubMed:1429717, ECO:0000269|PubMed:19384417}.	4PCW;	SUBCELLULAR LOCATION: Cytoplasmic granule {ECO:0000269|PubMed:16710414}. Note=In the stratum granulosum of the epidermis, localized within keratohyalin granules (PubMed:1429717). In granular keratinocytes and in lower corneocytes, colocalizes with calpain-1/CAPN1 (PubMed:21531719). {ECO:0000269|PubMed:1429717, ECO:0000269|PubMed:21531719}.	
P22309	reviewed	UD11_HUMAN	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UDP-glucuronosyltransferase 1A isoform 1)	UGT1A1 GNT1 UGT1	Homo sapiens (Human)	533	TISSUE SPECIFICITY: [Isoform 1]: Expressed in liver, colon and small intestine. Not expressed in kidney, esophagus and skin. {ECO:0000269|PubMed:1339448, ECO:0000269|PubMed:17187418, ECO:0000269|PubMed:18004212}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in liver, colon, small intestine and kidney. Not expressed in esophagus and skin. {ECO:0000269|PubMed:1339448, ECO:0000269|PubMed:17187418, ECO:0000269|PubMed:18004212}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17179145, ECO:0000269|PubMed:17187418}; Single-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17187418}.	TRANSMEM 491..507; /note="Helical"; /evidence="ECO:0000255"
P22310	reviewed	UD14_HUMAN	UDP-glucuronosyltransferase 1A4 (UGT1A4) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 2) (hUG-BR2) (UDP-glucuronosyltransferase 1-4) (UDPGT 1-4) (UGT1*4) (UGT1-04) (UGT1.4) (UDP-glucuronosyltransferase 1-D) (UGT-1D) (UGT1D)	UGT1A4 GNT1 UGT1	Homo sapiens (Human)	534	TISSUE SPECIFICITY: [Isoform 1]: Expressed in liver (PubMed:1339448, PubMed:18004212). Expressed in kidney, colon and small intestine (PubMed:18004212). Not expressed in esophagus (PubMed:18004212). Not expressed in skin (PubMed:1339448). {ECO:0000269|PubMed:1339448, ECO:0000269|PubMed:18004212}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in liver, kidney, colon, esophagus and small intestine. {ECO:0000269|PubMed:18004212}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:17179145}; Single-pass membrane protein {ECO:0000255}.	TRANSMEM 492..508; /note="Helical"; /evidence="ECO:0000255"
P22528	reviewed	SPR1B_HUMAN	Cornifin-B (14.9 kDa pancornulin) (Small proline-rich protein IB) (SPR-IB)	SPRR1B	Homo sapiens (Human)	89	TISSUE SPECIFICITY: Suprabasal layers of squamous-differentiated tissues such as epidermis, esophagus, tongue and trachea.		SUBCELLULAR LOCATION: Cytoplasm.	
P23025	reviewed	XPA_HUMAN	DNA repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein)	XPA XPAC	Homo sapiens (Human)	273	TISSUE SPECIFICITY: Expressed in various cell lines and in skin fibroblasts. {ECO:0000269|PubMed:1918083, ECO:0000269|PubMed:8543191}.	1D4U;1XPA;2JNW;6J44;6LAE;6RO4;7AD8;8EBT;8EBU;8EBX;8EBY;	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:1918083, ECO:0000269|PubMed:19197159, ECO:0000269|PubMed:20304803}.	
P23229	reviewed	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	ITGA6	Homo sapiens (Human)	1130	TISSUE SPECIFICITY: Integrin alpha-6/beta-4 is predominantly expressed by epithelia. Isoforms containing segment X1 are ubiquitously expressed. Isoforms containing segment X1X2 are expressed in heart, kidney, placenta, colon, duodenum, myoblasts and myotubes, and in a limited number of cell lines; they are always coexpressed with the ubiquitous isoform containing segment X1. In some tissues (e.g. Salivary gland), isoforms containing cytoplasmic segment A and isoforms containing segment B are detected while in others, only isoforms containing one cytoplasmic segment are found (segment A in epidermis and segment B in kidney). Processed integrin alpha-6: Expressed at low levels in normal prostate tissue with elevated levels in prostate cancer tissue (at protein level) (PubMed:15023541). {ECO:0000269|PubMed:15023541, ECO:0000269|PubMed:7681434}.	7CEB;7CEC;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22314500}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:22314500}; Lipid-anchor {ECO:0000269|PubMed:22314500}.	TRANSMEM 1051..1076; /note="Helical"; /evidence="ECO:0000255"
P23946	reviewed	CMA1_HUMAN	Chymase (EC 3.4.21.39) (Alpha-chymase) (Mast cell protease I)	CMA1 CYH CYM	Homo sapiens (Human)	247	TISSUE SPECIFICITY: Mast cells in lung, heart, skin and placenta. Expressed in both normal skin and in urticaria pigmentosa lesions. {ECO:0000269|PubMed:8144971}.	1KLT;1NN6;1PJP;1T31;2HVX;3N7O;3S0N;4AFQ;4AFS;4AFU;4AFZ;4AG1;4AG2;4K2Y;4K5Z;4K60;4K69;4KP0;5YJM;5YJP;9GBH;9GC1;9GC9;9GCC;9GCD;	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule. Note=Mast cell granules.	
P24043	reviewed	LAMA2_HUMAN	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	LAMA2 LAMM	Homo sapiens (Human)	3122	TISSUE SPECIFICITY: Placenta, striated muscle, peripheral nerve, cardiac muscle, pancreas, lung, spleen, kidney, adrenal gland, skin, testis, meninges, choroid plexus, and some other regions of the brain; not in liver, thymus and bone.	4YEP;4YEQ;	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component.	
P24723	reviewed	KPCL_HUMAN	Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	PRKCH PKCL PRKCL	Homo sapiens (Human)	683	TISSUE SPECIFICITY: Most abundant in lung, less in heart and skin. {ECO:0000269|PubMed:1986216}.	2FK9;3TXO;8FP1;8FP3;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	
P27487	reviewed	DPP4_HUMAN	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766	TISSUE SPECIFICITY: Expressed specifically in lymphatic vessels but not in blood vessels in the skin, small intestine, esophagus, ovary, breast and prostate glands. Not detected in lymphatic vessels in the lung, kidney, uterus, liver and stomach (at protein level). Expressed in the poorly differentiated crypt cells of the small intestine as well as in the mature villous cells. Expressed at very low levels in the colon. {ECO:0000269|PubMed:1677636, ECO:0000269|PubMed:18708048}.	1J2E;1N1M;1NU6;1NU8;1PFQ;1R9M;1R9N;1RWQ;1TK3;1TKR;1U8E;1W1I;1WCY;1X70;2AJL;2BGN;2BGR;2BUB;2FJP;2G5P;2G5T;2G63;2HHA;2I03;2I78;2IIT;2IIV;2JID;2OAG;2OGZ;2OLE;2ONC;2OPH;2OQI;2OQV;2P8S;2QJR;2QKY;2QOE;2QT9;2QTB;2RGU;2RIP;3BJM;3C43;3C45;3CCB;3CCC;3D4L;3EIO;3F8S;3G0B;3G0C;3G0D;3G0G;3H0C;3HAB;3HAC;3KWF;3KWJ;3NOX;3O95;3O9V;3OC0;3OPM;3Q0T;3Q8W;3QBJ;3SWW;3SX4;3VJK;3VJL;3VJM;3W2T;3WQH;4A5S;4DSA;4DSZ;4DTC;4G1F;4J3J;4JH0;4KR0;4L72;4LKO;4N8D;4N8E;4PNZ;4PV7;4QZV;5I7U;5ISM;5J3J;5KBY;5T4B;5T4E;5T4F;5T4H;5Y7H;5Y7J;5Y7K;5ZID;6B1E;6B1O;8WKU;8ZDX;8ZE6;	SUBCELLULAR LOCATION: [Dipeptidyl peptidase 4 soluble form]: Secreted {ECO:0000269|PubMed:10951221, ECO:0000269|PubMed:16254193}. Note=Detected in the serum and the seminal fluid. {ECO:0000269|PubMed:10951221, ECO:0000269|PubMed:16254193}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10900005, ECO:0000269|PubMed:11772392, ECO:0000305|PubMed:8101391}; Single-pass type II membrane protein. Apical cell membrane {ECO:0000269|PubMed:11773049}; Single-pass type II membrane protein. Cell projection, invadopodium membrane {ECO:0000269|PubMed:16651416}; Single-pass type II membrane protein. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16651416}; Single-pass type II membrane protein. Cell junction {ECO:0000269|PubMed:11772392}. Membrane raft {ECO:0000269|PubMed:17287217}. Note=Translocated to the apical membrane through the concerted action of N- and O-Glycans and its association with lipid microdomains containing cholesterol and sphingolipids (PubMed:11773049). Redistributed to membrane rafts in T-cell in an interleukin-12-dependent activation (PubMed:12676959). Its interaction with CAV1 is necessary for its translocation to membrane rafts (PubMed:17287217). Colocalized with PTPRC in membrane rafts (PubMed:12676959). Colocalized with FAP in invadopodia and lamellipodia of migratory activated endothelial cells in collagenous matrix. Colocalized with FAP on endothelial cells of capillary-like microvessels but not large vessels within invasive breast ductal carcinoma (PubMed:16651416). Colocalized with ADA at the cell junction in lymphocyte-epithelial cell adhesion (PubMed:11772392). Colocalized with IGF2R in internalized cytoplasmic vesicles adjacent to the cell surface (PubMed:10900005). {ECO:0000269|PubMed:10900005, ECO:0000269|PubMed:11772392, ECO:0000269|PubMed:11773049, ECO:0000269|PubMed:12676959, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:17287217}.	TRANSMEM 7..28; /note="Helical; Signal-anchor for type II membrane protein"; /evidence="ECO:0000255"
P27815	reviewed	PDE4A_HUMAN	3',5'-cyclic-AMP phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46) (cAMP-specific phosphodiesterase 4A)	PDE4A DPDE2	Homo sapiens (Human)	886	TISSUE SPECIFICITY: [Isoform 1]: Expressed in lymphoid cell subsets including CD8-positive T cells and T-helper 2 cells. Expressed in dendritic cells. {ECO:0000269|PubMed:15738310}.; TISSUE SPECIFICITY: [Isoform 2]: Highly expressed in liver, stomach, testis, thyroid and adrenal glands and at a lower extent in placenta, kidney, pancreas, ovary, uterus and skin. Expressed in myeloid cell subsets including dendritic cells, monocytes, macrophages, eosinophils and mast cells. Expressed in natural killer cells. Expressed in bronchial smooth muscle. {ECO:0000269|PubMed:15738310}.; TISSUE SPECIFICITY: [Isoform 6]: Expressed at high levels in the heart and small intestine. It is also found in the brain, kidney, spleen, colon, salivary gland, ovary and peripheral blood lymphocytes. {ECO:0000269|PubMed:11306681}.; TISSUE SPECIFICITY: [Isoform 7]: Expressed predominantly in skeletal muscle and brain and at lower levels in the testis. Found in specific neuronal subpopulations including cortical pyramidal neurons, horn neurons in the spinal cord and Purkinje cells in cerebellum (at protein level). {ECO:0000269|PubMed:18095939}.	2QYK;3I8V;3TVX;	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:15738310}. Cell projection, ruffle membrane {ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm, cytosol {ECO:0000269|PubMed:7888306}.; SUBCELLULAR LOCATION: [Isoform 4]: Membrane; Peripheral membrane protein {ECO:0000269|PubMed:9677330}. Note=Isoform 4 has propensity for association with membranes. {ECO:0000269|PubMed:9677330}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:11306681, ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm, cytosol. Membrane; Peripheral membrane protein {ECO:0000269|PubMed:18095939}. Note=Predominantly cytosolic. {ECO:0000269|PubMed:18095939}.	
P29317	reviewed	EPHA2_HUMAN	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976	TISSUE SPECIFICITY: Expressed in brain and glioma tissue and glioma cell lines (at protein level). Expressed most highly in tissues that contain a high proportion of epithelial cells, e.g. skin, intestine, lung, and ovary. {ECO:0000269|PubMed:17332925}.	1MQB;2E8N;2K9Y;2KSO;2X10;2X11;3C8X;3CZU;3FL7;3HEI;3HPN;3KKA;3MBW;3MX0;3SKJ;4P2K;4PDO;4TRL;5EK7;5I9U;5I9V;5I9W;5I9X;5I9Y;5I9Z;5IA0;5IA1;5IA2;5IA3;5IA4;5IA5;5NJZ;5NK0;5NK1;5NK2;5NK3;5NK4;5NK5;5NK6;5NK7;5NK8;5NK9;5NKA;5NKB;5NKC;5NKD;5NKE;5NKF;5NKG;5NKH;5NKI;5NZ9;6B9L;6F7M;6F7N;6FNF;6FNG;6FNH;6HES;6HET;6HEU;6HEV;6HEW;6HEX;6HEY;6NJZ;6NK0;6NK1;6NK2;6NKP;6Q7B;6Q7C;6Q7D;6Q7E;6Q7F;6Q7G;6RW2;7B7N;7CZE;7CZF;7KJA;7KJB;7KJC;8BIN;8BIO;8BK0;8BM8;8BOC;8BOD;8BOF;8BOG;8BOH;8BOI;8BOK;8BOM;8QQY;8T9B;8TRS;8TRT;8TRV;8TV1;8TV5;8XPV;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20223987, ECO:0000269|PubMed:20861311, ECO:0000269|PubMed:34067457}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:19573808}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, focal adhesion {ECO:0000269|PubMed:10655584}. Note=Present at regions of cell-cell contacts but also at the leading edge of migrating cells (PubMed:19573808, PubMed:20861311). Relocates from the plasma membrane to the cytoplasmic and perinuclear regions in cancer cells (PubMed:18794797). {ECO:0000269|PubMed:18794797, ECO:0000269|PubMed:19573808, ECO:0000269|PubMed:20861311, ECO:0000269|PubMed:26158630}.	TRANSMEM 538..558; /note="Helical"; /evidence="ECO:0000255"
P30047	reviewed	GFRP_HUMAN	GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35)	GCHFR GFRP	Homo sapiens (Human)	84	TISSUE SPECIFICITY: In epidermis, expressed predominantly in basal undifferentiated keratinocytes and in some but not all melanocytes (at protein level). {ECO:0000269|PubMed:16778797}.	6Z80;6Z85;7ACC;7AL9;7ALA;7ALB;7ALC;7ALQ;	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16778797}. Nucleus membrane {ECO:0000269|PubMed:16778797}. Cytoplasm, cytosol {ECO:0000269|PubMed:16778797}.	
P30793	reviewed	GCH1_HUMAN	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250	TISSUE SPECIFICITY: In epidermis, expressed predominantly in basal undifferentiated keratinocytes and in some but not all melanocytes (at protein level). {ECO:0000269|PubMed:16778797}.	1FB1;6Z80;6Z85;6Z86;6Z87;6Z88;6Z89;7ALA;7ALB;7ALC;7ALQ;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12176133, ECO:0000269|PubMed:16778797, ECO:0000269|PubMed:2463916}. Nucleus {ECO:0000269|PubMed:16778797}.	
P31151	reviewed	S10A7_HUMAN	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101	TISSUE SPECIFICITY: Fetal ear, skin, and tongue and human cell lines. Highly up-regulated in psoriatic epidermis. Also highly expressed in the urine of bladder squamous cell carcinoma (SCC) bearing patients. {ECO:0000269|PubMed:8618345}.	1PSR;2PSR;2WND;2WOR;2WOS;3PSR;4AQJ;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8618345}. Secreted {ECO:0000269|PubMed:8618345}. Note=Secreted by a non-classical secretory pathway.	
P31937	reviewed	3HIDH_HUMAN	3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)	HIBADH	Homo sapiens (Human)	336	TISSUE SPECIFICITY: Detected in skin fibroblasts. {ECO:0000269|PubMed:16466957}.	2GF2;2I9P;	SUBCELLULAR LOCATION: Mitochondrion.	
P31944	reviewed	CASPE_HUMAN	Caspase-14 (CASP-14) (EC 3.4.22.-) [Cleaved into: Caspase-14 subunit p17, mature form; Caspase-14 subunit p10, mature form; Caspase-14 subunit p20, intermediate form; Caspase-14 subunit p8, intermediate form]	CASP14	Homo sapiens (Human)	242	TISSUE SPECIFICITY: Expressed in keratinocytes of adult skin suprabasal layers (from spinous layers to the stratum granulosum and stratum corneum) (at protein level). Expressed in keratinocytes of hair shaft and sebaceous glands (at protein level). In psoriatic skin only expressed at very low levels (PubMed:11175259). The p17/10 mature form is expressed in epidermis stratum corneum, the p20/p8 intermediate form in epidermis upper granular cells of the stratum granulosum (PubMed:22825846). {ECO:0000269|PubMed:11175259, ECO:0000269|PubMed:15556625, ECO:0000269|PubMed:22825846}.		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11175259, ECO:0000269|PubMed:12200134, ECO:0000269|PubMed:22825846}. Nucleus {ECO:0000269|PubMed:11175259}.	
